query_id,query,domain,name,organization_type,country,summary,kerem_manav_label,marmee_label,gemini_label,sonnet5_label,llm_label,llm_agreement
1,software companies,suda3000.net.cn,厦门速达软件有限公司,Company,China,"Xiamen Suda Software Co., Ltd. is a software company specializing in the development and distribution of enterprise management software. Their product portfolio includes integrated solutions for inventory, finance, ERP, and project management, offered in various deployment options such as cloud, PC, and APP. The company aims to provide comprehensive business management tools to enhance operational efficiency for businesses.",2,2,2,2,2.0,unanimous
1,software companies,hanyingsh.com,上海翰盈信息技术有限公司,Company,China,"Shanghai Hanying Information Technology Co., Ltd. is a software company specializing in enterprise informatization construction and services. They offer software development, sales, consulting, implementation, technical maintenance, and custom development. The company focuses on providing high-quality software systems and consulting services, aiming to create value for clients and become a leading brand in enterprise management software.",2,2,2,2,2.0,unanimous
1,software companies,grasp.com.cn,成都任我行软件股份有限公司,Company,China,"Chengdu Renwoxing Software Co., Ltd. is a software company specializing in enterprise management solutions. Their product suite includes inventory management, financial management, ERP systems, and CRM solutions, catering to various business needs from small retail to intelligent manufacturing. The company aims to provide efficient and intelligent software to help businesses grow and operate more effectively.",2,2,2,2,2.0,unanimous
1,software companies,ecaisoft.com,东莞市一彩软件有限公司,Company,China,"Dongguan Yicai Software Co., Ltd. is a software company established in 2009, specializing in the development, sales, and service of enterprise management software. They offer a range of products including inventory management, warehousing, delivery note printing, and HR systems, serving over 10,000 small and medium-sized enterprises across China. Their mission is to provide informatization services to businesses, enhancing their operational efficiency.",2,2,2,2,2.0,unanimous
1,software companies,sxyerp.com,东莞市数星软件科技有限公司,Company,China,"Dongguan Shuxing Software Technology Co., Ltd. is a software company specializing in the development and sales of ERP and inventory management systems. Their product line includes various versions of S2, S3, S6, and S9 ERP software, as well as the S10 intelligent factory platform, catering to industries such as machinery, hardware, plastics, electronics, and automotive parts. They aim to provide comprehensive management solutions for manufacturing enterprises.",2,2,2,2,2.0,unanimous
1,software companies,adaline.com.vn,Adaline,Company,Vietnam,"Adaline is a software company that provides management and sales software solutions designed for various industries. Their offerings include inventory management, sales tracking, and reporting features, with a focus on simplicity, ease of use, and cost-effectiveness. The company aims to support businesses, particularly small and medium-sized enterprises, in streamlining their operations and improving efficiency through customizable software tailored to specific industry needs.",2,2,2,2,2.0,unanimous
1,software companies,xsfrj.com,宝鸡鑫四方软件有限公司,Company,China,"Baoji Xinsifang Software Co., Ltd. is a software company specializing in enterprise digital transformation solutions. They offer a range of products including enterprise-level PaaS platforms, ERP systems for large and small businesses, and industry-specific solutions for manufacturing, finance, and more. The company provides services such as electronic procurement, financial shared services, human resources, and treasury management, aiming to empower Chinese enterprises for high-quality development.",1,2,2,2,2.0,unanimous
1,software companies,softwaremerchant.com,Software Merchant Inc.,Company,United States,"Software Merchant Inc. is a leading IT consulting and staffing firm specializing in mobile technology solutions across Apple platforms, including iOS and Android. With over 20 years of experience, they offer mobile app development, consulting, staffing, and integration of AR/AI technologies. They cater to Fortune 500 companies and growing businesses, focusing on delivering quality, client-driven mobile applications and digital commerce solutions.",1,2,2,2,2.0,unanimous
1,software companies,visualk.com,Visual K Software Empresarial,Company,United States,"Visual K Software Empresarial is a software company specializing in enterprise solutions, including EAM, ERP, CPM, SCM, FMS, CRM, PLM, and HR software. They focus on optimizing client productivity and efficiency through their software and services like integrations, implementation, and advanced support. With 20 years of experience, they serve a global clientele across 10 countries.",2,2,2,2,2.0,unanimous
1,software companies,eurowin.com,Sage,Company,Spain,"Sage is a global company that provides business management software solutions, primarily focusing on accounting, ERP, payroll, and HR for small and medium-sized businesses. Their cloud-based and desktop software offerings aim to streamline operations, improve financial management, and enhance productivity. Sage also integrates AI features into its products to offer advanced insights and automation for businesses.",2,2,2,2,2.0,unanimous
1,software companies,jawa-software.com,JAWA SOFTWARE Inc.,Company,India,"JAWA SOFTWARE Inc. is a global leader in software and internet solutions, specializing in the development and integration of strategic business applications. They offer a comprehensive suite of ERP systems, including financial accounting, sales and distribution, HRMS, and point-of-sale solutions, designed to enhance productivity and profitability for clients. The company emphasizes providing best-in-class applications with high-caliber service and support, aiming for total customer satisfaction and maximizing client ROI.",2,2,2,2,2.0,unanimous
1,software companies,farmsoft.com,Farmsoft,Company,United States,"Farmsoft is a software company specializing in farm management solutions. They offer a comprehensive suite of tools designed to help agricultural businesses optimize operations, improve traceability, and enhance profitability. Their software covers areas such as crop planning, inventory management, labor tracking, and compliance, catering to a wide range of agricultural producers.",2,1,2,2,2.0,unanimous
1,software companies,softmint.net,Softmint LLC,Company,United States,"Softmint LLC is a digital product development company specializing in building next-generation mobile apps, websites, and digital products. They offer a comprehensive suite of services including web and mobile app development, e-commerce solutions, product engineering, CRM solutions, augmented reality integration, custom software development, WordPress & Shopify development, SaaS development, and cloud solutions. The company aims to redefine the digital landscape by providing tailored solutions for businesses of all sizes, from SMEs to enterprises, to enhance their online presence and customer experience.",2,2,2,2,2.0,unanimous
1,software companies,secondstreet.com,"Upland Software, Inc.",Company,United States,"Upland Software, Inc. is a provider of cloud-based enterprise software solutions. They offer a portfolio of products designed to automate business processes, enhance customer engagement, and improve operational efficiency across various industries. Their solutions cover areas such as contact center and customer service, content lifecycle automation, digital marketing, IT and supply chain management, knowledge management, project management, and sales productivity.",2,2,2,2,2.0,unanimous
1,software companies,rightanswers.com,"Upland Software, Inc.",Company,United States,"Upland Software provides a suite of cloud-based enterprise software solutions designed to help businesses manage various aspects of their operations. Their offerings span areas such as contact center and customer service, content lifecycle automation, digital and mobile marketing, IT and supply chain management, knowledge management, project management, and sales productivity. Upland aims to empower organizations to improve efficiency, drive revenue, and enhance customer experiences through its integrated platform and AI-powered tools.",2,2,2,2,2.0,unanimous
1,software companies,flysoftinc.com,Flysoft Inc.,Company,United States,"Flysoft Inc. is a global firm offering consulting, technology, and outsourcing solutions. They specialize in application development, business intelligence, big data analytics, ERP, and data warehousing. The company also provides staffing and training services, aiming to deliver innovative and robust end-to-end solutions to enterprises by leveraging cutting-edge technologies.",1,1,2,2,2.0,unanimous
1,software companies,sjzufida.com,用友软件 (Yonyou Software),Company,China,"Yonyou Software is a leading provider of enterprise software and intelligent services, focusing on digital transformation solutions. They offer a comprehensive suite of cloud-native and ecosystem-based products, including ERP, CRM, and specialized industry solutions, powered by cloud computing and AI. Their mission is to drive business and social progress through innovation in information technology, aiming to be a top global enterprise software provider.",1,2,2,2,2.0,unanimous
1,software companies,filebound.com,"Upland Software, Inc.",Company,United States,"Upland Software, Inc. provides enterprise cloud solutions designed to help businesses manage and automate critical business processes. Their product portfolio spans areas such as contact center and customer service, content lifecycle automation, digital marketing, IT and supply chain management, knowledge management, project management, and sales productivity. Upland aims to empower organizations to work more efficiently, improve customer experiences, and drive revenue growth through its integrated suite of software.",2,2,2,2,2.0,unanimous
1,software companies,unit4.nl,Unit4,Company,Netherlands,"Unit4 is a global software company that provides cloud-based enterprise resource planning (ERP), financial planning and analysis (FP&A), human capital management (HCM), and procurement solutions. Their software is designed for service-centric organizations, aiming to streamline processes, enhance employee experience, and drive business growth through AI-powered platforms. Unit4 focuses on delivering value and ROI for finance, HR, and project management teams.",2,2,2,2,2.0,unanimous
